paymentGoodputSent:vector PCN.node9 (#0 - General-0-20250701-23:02:47-175902),,paymentGoodputSent:vector PCN.node7 (#0 - General-0-20250701-23:02:47-175902),,paymentGoodputSent:vector PCN.node4 (#0 - General-0-20250701-23:02:47-175902),,paymentGoodputSent:vector PCN.node8 (#0 - General-0-20250701-23:02:47-175902),,paymentGoodputSent:vector PCN.node5 (#0 - General-0-20250701-23:02:47-175902),
555.5,1,566,1,756,1,858.5,1,909,1
590.5,1,766,1,756,1,858.5,1,909,1
752,1,766,1,1102.5,1,870,1,1537.5,1
790.5,1,1028,1,1156.5,1,870,1,1652,1
790.5,1,1112,1,1207,1,897.5,1,1862.5,1
790.5,1,1231,1,1207,1,1020,1,1862.5,1
790.5,1,1312,1,1207,1,1058.5,1,1970.5,1
790.5,1,1312,1,1440,1,1058.5,1,1970.5,1
790.5,1,1312,1,1440,1,1091,1,1970.5,1
862,1,1428.5,1,1520,1,1091,1,2093.5,1
990.5,1,1512.5,1,1557,1,1091,1,2093.5,1
990.5,1,1548,1,1627.5,1,1091,1,2093.5,1
990.5,1,1585.5,1,1627.5,0.923076923076920016,1097.5,1,2093.5,1
990.5,1,1659.5,1,1670,0.928571428571429931,1145,1,2093.5,1
990.5,1,1659.5,1,1670,0.933333333333330013,1223,1,2093.5,1
990.5,1,1694,1,1670,0.9375,1223,1,2318.5,1
990.5,1,1694,1,1827.5,0.941176470588239941,1258.5,1,2318.5,1
990.5,1,1715,1,1870,0.944444444444439975,1258.5,1,2526.5,1
990.5,1,1781,1,1870,0.947368421052629856,1274,1,2526.5,1
1014,1,1781,1,1932,0.94999999999999995,1274,1,2570.5,1
1029,1,1781,1,2070,0.952380952380949881,1274,1,2618.5,1
1173,1,1827,1,2149.5,0.954545454545449917,1274,1,2618.5,1
1173,1,1827,1,2173,0.956521739130429922,1291,1,2640.5,1
1173,1,1894,1,2173,0.958333333333329925,1291,1,2676.5,1
1173,1,1925,1,2204,0.95999999999999996,1357,1,2765.5,1
1173,1,1925,1,2227.5,0.961538461538459895,1357,1,2928,1
1173,1,1925,1,2227.5,0.962962962962959906,1357,1,,
1201,1,1972,1,2307,0.964285714285709968,1357,1,,
1229,1,2026,1,2349.5,0.965517241379310048,1357,0.965517241379310048,,
1229,1,2140,1,2349.5,0.96666666666666989,1357,0.96666666666666989,,
1229,1,2140,1,2349.5,0.96774193548386988,1409,0.96774193548386988,,
1229,1,2226,1,2349.5,0.96875,1409,0.96875,,
1246,1,2235,1,2393,0.969696969696969941,1423,0.969696969696969941,,
1311,1,2235,1,2393,0.970588235294119968,1423,0.970588235294119968,,
1311,1,2319,1,2507,0.97142857142856997,1423,0.942857142857139946,,
1311,1,2345,1,2527,0.972222222222219875,1423,0.944444444444439975,,
1311,1,2374,1,2527,0.972972972972969914,1445,0.945945945945950048,,
1337,1,2383,1,2527,0.973684210526319922,1458.5,0.921052631578950005,,
