paymentGoodputSent:vector PCN.node8 (#0 - General-0-20250701-23:13:47-180213),,paymentGoodputSent:vector PCN.node9 (#0 - General-0-20250701-23:13:47-180213),,paymentGoodputSent:vector PCN.node4 (#0 - General-0-20250701-23:13:47-180213),,paymentGoodputSent:vector PCN.node7 (#0 - General-0-20250701-23:13:47-180213),,paymentGoodputSent:vector PCN.node5 (#0 - General-0-20250701-23:13:47-180213),
713,0,816,1,1378.5,1,1638.5,1,1872,1
751,0,816,1,1481.5,1,1638.5,1,,
777.5,0,816,1,1481.5,1,1835.5,1,,
1125.5,0.25,816,1,1481.5,1,1835.5,1,,
1146.5,0.40000000000000002,843,1,1592.5,1,1936.5,1,,
1261,0.5,942,1,1792.5,1,2075,1,,
1477.5,0.57142857142856984,947.5,0.857142857142859867,1792.5,1,2075,1,,
1531,0.625,962,0.875,1792.5,1,2075,1,,
2200.5,0.666666666666669846,962,0.888888888888889945,1792.5,1,2075,0.888888888888889945,,
2489.5,0.699999999999999951,962,0.899999999999999907,1993,1,2251.5,0.899999999999999907,,
2723.5,0.727272727272729953,962,0.909090909090909833,2193.5,1,2251.5,0.909090909090909833,,
2723.5,0.666666666666669846,962,0.916666666666669845,2509,1,2251.5,0.916666666666669845,,
3126.5,0.692307692307689845,982,0.923076923076920016,2523.5,1,2251.5,0.923076923076920016,,
3335,0.714285714285709968,1040,0.857142857142859867,2708.5,1,2251.5,0.928571428571429931,,
3584.5,0.733333333333329836,1143,0.866666666666670023,2708.5,1,2251.5,0.933333333333330013,,
3760,0.75,1237.5,0.875,2708.5,1,2311,0.9375,,
4183,0.76470588235294001,1237.5,0.882352941176469891,2711.5,1,2511.5,0.941176470588239941,,
4183,0.777777777777779895,1237.5,0.888888888888889945,2711.5,1,2652.5,0.944444444444439975,,
4485.5,0.789473684210529875,1237.5,0.894736842105259939,2795,0.947368421052629856,3053.5,0.947368421052629856,,
4718.5,0.75,1343.5,0.899999999999999907,2927.5,0.94999999999999995,3053.5,0.94999999999999995,,
4920.5,0.714285714285709968,1343.5,0.904761904761899988,2927.5,0.952380952380949881,3154,0.952380952380949881,,
5087,0.727272727272729953,1438,0.909090909090909833,3128,0.954545454545449917,3154,0.954545454545449917,,
5148.5,0.695652173913039903,1566.5,0.913043478260869841,3128,0.956521739130429922,3154,0.956521739130429922,,
5525,0.708333333333329925,1826,0.916666666666669845,3128,0.958333333333329925,3262.5,0.958333333333329925,,
5572,0.679999999999999934,2009.5,0.919999999999999923,3219.5,0.919999999999999923,3341.5,0.95999999999999996,,
5640,0.692307692307689845,2009.5,0.923076923076920016,3420,0.884615384615379913,3457.5,0.961538461538459895,,
,,2009.5,0.925925925925930035,3529,0.888888888888889945,3457.5,0.962962962962959906,,
,,2301,0.928571428571429931,3756.5,0.892857142857139903,3542,0.964285714285709968,,
,,2301,0.931034482758619882,4008.5,0.86206896551723999,3682.5,0.965517241379310048,,
,,2404.5,0.933333333333330013,4102.5,0.866666666666670023,3767.5,0.96666666666666989,,
,,2404.5,0.93548387096773999,4102.5,0.870967741935479984,3968,0.96774193548386988,,
,,2404.5,0.9375,4209,0.84375,3968,0.96875,,
,,2501.5,0.939393939393939888,4303,0.848484848484849948,4168.5,0.969696969696969941,,
,,2528,0.941176470588239941,4409,0.852941176470589863,4168.5,0.970588235294119968,,
,,2827,0.942857142857139946,4409,0.857142857142859867,4293.5,0.97142857142856997,,
,,2928,0.944444444444439975,4409,0.861111111111110046,4575.5,0.972222222222219875,,
,,2928,0.945945945945950048,4810,0.864864864864860023,4575.5,0.972972972972969914,,
,,3051.5,0.947368421052629856,4810,0.868421052631579866,4575.5,0.973684210526319922,,
,,3051.5,0.948717948717950005,4810,0.871794871794870026,4575.5,0.974358974358970005,,
,,3452.5,0.94999999999999995,5010.5,0.875,4596.5,0.974999999999999863,,
,,3452.5,0.951219512195119904,5010.5,0.878048780487799881,4828.5,0.975609756097559838,,
,,3452.5,0.952380952380949881,5152.5,0.880952380952380038,4828.5,0.976190476190480045,,
,,3452.5,0.953488372093019837,5152.5,0.883720930232559928,5011.5,0.976744186046510028,,
,,3541.5,0.954545454545449917,5152.5,0.886363636363640013,5120.5,0.954545454545449917,,
,,3541.5,0.955555555555559928,5353,0.866666666666670023,5268.5,0.955555555555559928,,
,,3541.5,0.956521739130429922,,,5857.5,0.956521739130429922,,
,,3742,0.936170212765959903,,,5940,0.957446808510640009,,
,,3835.5,0.9375,,,,,,
,,3978.5,0.938775510204080005,,,,,,
,,4173.5,0.939999999999999941,,,,,,
,,4255.5,0.941176470588239941,,,,,,
,,4374,0.942307692307689844,,,,,,
,,4374,0.943396226415089907,,,,,,
,,4381,0.944444444444439975,,,,,,
,,4560.5,0.945454545454549984,,,,,,
,,4658.5,0.946428571428569838,,,,,,
,,4658.5,0.947368421052629856,,,,,,
,,4847.5,0.931034482758619882,,,,,,
,,4847.5,0.932203389830509982,,,,,,
,,5024.5,0.933333333333330013,,,,,,
,,5024.5,0.934426229508199975,,,,,,
,,5225,0.93548387096773999,,,,,,
,,5225,0.936507936507939838,,,,,,
,,5457,0.9375,,,,,,
,,5457,0.938461538461540009,,,,,,
,,5657.5,0.939393939393939888,,,,,,
