paymentGoodputSent:vector PCN.node7 (#0 - General-0-20250701-23:24:14-184853),,paymentGoodputSent:vector PCN.node5 (#0 - General-0-20250701-23:24:14-184853),,paymentGoodputSent:vector PCN.node9 (#0 - General-0-20250701-23:24:14-184853),,paymentGoodputSent:vector PCN.node4 (#0 - General-0-20250701-23:24:14-184853),,paymentGoodputSent:vector PCN.node8 (#0 - General-0-20250701-23:24:14-184853),
732.5,0,999.5,1,1216.5,1,1430.5,0,1804,1
1116,0.5,1200,1,4836,1,1834.5,0,1814,1
1183.5,0.333333333333329926,1200,1,,,1863.5,0.333333333333329926,1816.5,1
1705.5,0.25,1200,1,,,2064,0.25,1935.5,1
2364,0.40000000000000002,2455,1,,,2712.5,0.20000000000000001,3101.5,1
2564.5,0.5,2499,1,,,2722.5,0.166666666666669959,3202,1
3651.5,0.428571428571429933,2517,1,,,3267,0.285714285714289915,3302,1
3787.5,0.375,2539,1,,,3402,0.375,4510,1
4061.5,0.333333333333329926,3732.5,1,,,3467.5,0.444444444444439976,4558,1
4254.5,0.299999999999999932,3903.5,1,,,5444.5,0.40000000000000002,4626,1
4262.5,0.27272727272726993,3910.5,1,,,5837,0.45454545454544992,4710.5,1
4485.5,0.25,4116,1,,,,,,
4684.5,0.230769230769230004,5146.5,1,,,,,,
4918.5,0.214285714285709971,5200.5,1,,,,,,
5136.5,0.266666666666669937,5243.5,1,,,,,,
5519,0.25,5347.5,1,,,,,,
