paymentGoodputSent:vector PCN.node9 (#0 - General-0-20250701-23:18:59-182200),,paymentGoodputSent:vector PCN.node7 (#0 - General-0-20250701-23:18:59-182200),,paymentGoodputSent:vector PCN.node4 (#0 - General-0-20250701-23:18:59-182200),,paymentGoodputSent:vector PCN.node8 (#0 - General-0-20250701-23:18:59-182200),,paymentGoodputSent:vector PCN.node5 (#0 - General-0-20250701-23:18:59-182200),
578,1,684.5,1,780.5,1,786,0,809,1
578,1,684.5,1,914.5,1,803.5,0.5,930.5,1
632,1,684.5,1,914.5,1,880.5,0.666666666666669846,930.5,1
632,1,884.5,1,1010,1,880.5,0.75,1115.5,1
731,1,884.5,1,1010,1,880.5,0.800000000000000041,1253.5,1
795.5,1,1139.5,1,1051.5,1,880.5,0.833333333333329925,1377.5,1
919,1,1226,1,1134,1,880.5,0.857142857142859867,1489.5,1
919,1,1308,1,1210,1,880.5,0.875,1544.5,1
919,1,1308,1,1260,1,951,0.888888888888889945,1690,1
995.5,1,1339.5,1,1301,1,951,0.899999999999999907,1799.5,1
995.5,0.909090909090909833,1344,1,1334,1,1003,0.909090909090909833,1912.5,1
995.5,0.916666666666669845,1426,1,1419.5,1,1003,0.916666666666669845,1979,1
995.5,0.923076923076920016,1465,1,1474.5,1,1018,0.923076923076920016,2299,1
1042.5,0.928571428571429931,1484,1,1569,1,1046.5,0.928571428571429931,2299,1
1042.5,0.933333333333330013,1571,1,1656.5,1,1046.5,0.933333333333330013,2343.5,1
1119,0.875,1571,1,1656.5,1,1046.5,0.9375,2366,1
1119,0.882352941176469891,1592,1,1689,1,1120.5,0.941176470588239941,2415.5,1
1119,0.888888888888889945,1690,1,1689,1,1175,0.944444444444439975,2499.5,1
1119,0.894736842105259939,1725,0.947368421052629856,1756,1,1267.5,0.947368421052629856,2499.5,1
1127,0.899999999999999907,1803,0.94999999999999995,1789,1,1267.5,0.94999999999999995,2726.5,1
1141,0.904761904761899988,1865,0.952380952380949881,1789,1,1267.5,0.952380952380949881,2726.5,1
1218,0.909090909090909833,1890,0.954545454545449917,1879.5,1,1319,0.954545454545449917,2902.5,1
1218,0.913043478260869841,1890,0.956521739130429922,1879.5,1,1319,0.956521739130429922,2902.5,1
1253,0.916666666666669845,1925,0.958333333333329925,1879.5,1,1375,0.958333333333329925,2902.5,1
