paymentGoodputSent:vector PCN.node7 (#0 - General-0-20250701-23:26:39-185936),,paymentGoodputSent:vector PCN.node5 (#0 - General-0-20250701-23:26:39-185936),,paymentGoodputSent:vector PCN.node4 (#0 - General-0-20250701-23:26:39-185936),,paymentGoodputSent:vector PCN.node9 (#0 - General-0-20250701-23:26:39-185936),,paymentGoodputSent:vector PCN.node8 (#0 - General-0-20250701-23:26:39-185936),
655,0,737.5,1,768.5,1,809,1,831.5,1
710.5,0,842,1,1011.5,1,809,1,1032,1
767.5,0,933.5,1,1011.5,1,809,1,1032,1
801.5,0,933.5,1,1072,1,1009.5,1,1059,1
844.5,0.20000000000000001,953,1,1171.5,1,1009.5,1,1059,1
892.5,0.166666666666669959,1042,1,1171.5,1,1542.5,1,1232,1
911,0.285714285714289915,1107,1,1171.5,1,1686,1,1232,1
940.5,0.375,1242.5,1,1336.5,1,1686,1,1232,1
1091.5,0.444444444444439976,1242.5,1,1372,1,1686,1,1259.5,1
1217.5,0.40000000000000002,1279.5,1,1372,1,1812.5,1,1423.5,1
1267.5,0.45454545454544992,1375,1,1412,1,2013,1,1423.5,1
1334,0.5,1480,1,1443,1,2013,1,1423.5,1
1334,0.538461538461539877,1505.5,1,1563.5,1,2213.5,0.923076923076920016,1423.5,1
1334,0.57142857142856984,1534.5,1,1643.5,1,2213.5,0.928571428571429931,1505.5,1
1397,0.599999999999999864,1534.5,1,1643.5,1,2213.5,0.933333333333330013,1505.5,1
1467.5,0.625,1671,1,1763.5,1,2291.5,0.9375,1668,1
1467.5,0.647058823529409906,1725.5,1,1763.5,1,2352.5,0.941176470588239941,1668,1
1534,0.666666666666669846,1810.5,1,1889,1,2672.5,0.944444444444439975,1706,1
1534,0.684210526315790043,1810.5,1,1889,1,2809,0.947368421052629856,1813.5,1
1534,0.699999999999999951,1810.5,1,1889,1,2809,0.94999999999999995,1813.5,1
1534,0.714285714285709968,1860,1,1889,1,2891.5,0.952380952380949881,1868.5,1
1534,0.727272727272729953,2101.5,1,2064.5,1,2891.5,0.954545454545449917,2037.5,1
1534,0.739130434782609975,2101.5,1,2064.5,1,2916,0.913043478260869841,2166,1
1734,0.75,2101.5,1,2064.5,1,2986,0.916666666666669845,2166,1
1734,0.760000000000000006,2165.5,1,2089.5,1,2986,0.919999999999999923,2187.5,1
1734,0.769230769230770047,2165.5,1,2217.5,1,3009,0.923076923076920016,2431.5,1
1734,0.777777777777779895,2165.5,1,2285.5,1,3019,0.925925925925930035,2482,1
1734,0.785714285714290025,2198.5,1,2328,1,3054,0.928571428571429931,2614,1
1775,0.793103448275859876,2198.5,1,2348,1,3091.5,0.931034482758619882,2682,1
1828,0.800000000000000041,2230,1,2425,1,3137,0.899999999999999907,2682,1
1934,0.806451612903229972,2293.5,1,2425,1,3137,0.903225806451609875,2709,1
1934,0.8125,2335.5,1,2485.5,1,3209,0.90625,2751,1
1934,0.818181818181819894,2476.5,1,2622.5,1,3419.5,0.909090909090909833,2751,1
2014.5,0.823529411764709836,2536,1,2638.5,1,3455,0.911764705882349919,2882,1
2215,0.828571428571429843,2617.5,1,2748,1,3455,0.914285714285709923,2909,1
2215,0.833333333333329925,2617.5,1,2748,1,3490,0.916666666666669845,2927.5,1
2215,0.837837837837839934,2676.5,1,2748,1,3490,0.918918918918919965,3120,1
2505.5,0.842105263157890023,2676.5,1,2748,1,3707.5,0.921052631578950005,3120,1
2505.5,0.846153846153850026,2676.5,1,2778,1,3707.5,0.923076923076920016,3151.5,1
2505.5,0.849999999999999863,2685,1,2790,1,3776.5,0.92500000000000004,3151.5,1
2570.5,0.853658536585369938,2732,1,2790,1,3809.5,0.92682926829267997,3181,1
2597.5,0.857142857142859867,2740.5,1,2848,1,3873.5,0.928571428571429931,3181,1
2597.5,0.860465116279069959,2898,1,2884,1,3946.5,0.930232558139529871,3226,1
2597.5,0.863636363636359976,2898,1,2990.5,1,3946.5,0.931818181818179876,3320,1
2728.5,0.866666666666670023,2932,1,3022.5,1,4073.5,0.933333333333330013,3366,1
2728.5,0.869565217391299991,2932,1,3053.5,1,4073.5,0.93478260869564988,3366,1
2906.5,0.851063829787229938,2967,1,3095,1,4073.5,0.936170212765959903,3366,1
2918.5,0.854166666666669845,3077,1,3199,1,4146,0.9375,3520,1
2991.5,0.857142857142859867,3117.5,1,3222.5,1,4254.5,0.938775510204080005,3520,1
3052,0.859999999999999872,3196.5,1,3255.5,1,4254.5,0.939999999999999941,3627,1
3052,0.862745098039219945,3196.5,1,3295,1,4254.5,0.941176470588239941,3627,1
3066,0.846153846153850026,3196.5,1,3295,1,4273.5,0.942307692307689844,3827,1
3090,0.84905660377358005,3397,1,3295,1,4273.5,0.943396226415089907,3827,1
3118.5,0.851851851851849859,3524.5,1,3399,1,4302,0.944444444444439975,3966.5,1
3179.5,0.85454545454544983,3524.5,1,3399,1,4381.5,0.945454545454549984,3966.5,1
3380,0.857142857142859867,3582.5,1,3399,1,4381.5,0.946428571428569838,4037,1
3380,0.859649122807019989,3582.5,1,3472,1,4582,0.947368421052629856,4056,1
3380,0.86206896551723999,3673.5,1,3590.5,1,4582,0.948275862068969961,4158.5,1
3408.5,0.86440677966101997,3701,1,3610,1,4686.5,0.949152542372879931,4158.5,0.983050847457630046
3408.5,0.866666666666670023,3773.5,1,3672.5,1,4704,0.94999999999999995,4191,0.96666666666666989
3504.5,0.868852459016389963,3842,1,3780.5,1,4749,0.934426229508199975,4296.5,0.967213114754099873
3678.5,0.870967741935479984,3842,1,3870.5,1,4749,0.93548387096773999,4382,0.96774193548386988
3722.5,0.87301587301586991,3973.5,1,3870.5,1,4749,0.936507936507939838,4382,0.968253968253969916
3835,0.875,4030.5,1,3919,1,4864,0.9375,4382,0.96875
3835,0.87692307692308002,4173.5,1,3919,1,4864,0.938461538461540009,4391,0.969230769230770003
3868.5,0.878787878787880001,4230.5,1,4011.5,1,4949.5,0.939393939393939888,4451.5,0.969696969696969941
3894,0.880597014925369898,4258,1,4069,1,4949.5,0.940298507462689941,4479.5,0.970149253731339863
3894,0.882352941176469891,4258,1,4090,1,5039.5,0.941176470588239941,4500,0.970588235294119968
